file,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,instructions_follow,instructions_avoid,answer_relevant,answer_clear,answer_citations,completeness,tool_call_search
gh_agent_20250929_141249_3e269a.json,1515,2090,3605,7.575000000000001e-05,0.0008359999999999999,0.0009117499999999999,True,True,True,True,True,True,False
gh_agent_20250929_141253_84ee75.json,1746,2426,4172,8.730000000000001e-05,0.0009704000000000002,0.0010577000000000002,True,True,True,True,True,True,False
gh_agent_20250929_141505_971f8c.json,1721,2858,4579,8.605e-05,0.0011432,0.00122925,False,True,True,True,True,True,False
gh_agent_20250929_141139_3ab087.json,1874,3371,5245,9.37e-05,0.0013484,0.0014421,True,True,True,True,True,True,True
gh_agent_20250929_141354_84ed37.json,1778,3306,5084,8.89e-05,0.0013224,0.0014113,True,True,True,True,True,True,False
gh_agent_20250929_141500_cbaeee.json,1474,2810,4284,7.37e-05,0.001124,0.0011977,True,True,True,True,True,True,True
gh_agent_20250929_141354_e93d99.json,1896,1403,3299,9.48e-05,0.0005612,0.000656,True,True,True,True,True,True,True
gh_agent_20250929_141149_ca4951.json,2024,1642,3666,0.00010120000000000002,0.0006568,0.000758,True,True,True,True,True,True,False
gh_agent_20250929_141254_9a0444.json,1028,3818,4846,5.14e-05,0.0015272000000000003,0.0015786000000000003,True,True,True,True,True,True,False
gh_agent_20250929_141144_938f1c.json,1325,3883,5208,6.625e-05,0.0015532000000000002,0.0016194500000000001,True,True,True,True,True,True,False
gh_agent_20250929_141255_08f8ac.json,2009,3050,5059,0.00010045,0.0012200000000000002,0.0013204500000000001,False,True,True,True,True,True,False
gh_agent_20250929_141509_422657.json,1288,3691,4979,6.440000000000001e-05,0.0014764,0.0015408000000000002,True,True,True,True,True,True,True
gh_agent_20250929_141512_35619f.json,1497,2538,4035,7.485e-05,0.0010152,0.00109005,False,True,True,True,True,True,False
gh_agent_20250929_141152_02a582.json,1266,2170,3436,6.330000000000001e-05,0.0008680000000000001,0.0009313,True,True,True,True,True,True,True
gh_agent_20250929_141356_5878bd.json,1463,2810,4273,7.315e-05,0.001124,0.00119715,True,True,True,True,True,True,True
gh_agent_20250929_141513_29ae04.json,1607,2473,4080,8.035e-05,0.0009892,0.00106955,True,True,True,True,True,True,False
gh_agent_20250929_141356_13d00b.json,1941,6236,8177,9.705e-05,0.0024944000000000003,0.0025914500000000004,True,True,True,True,True,True,True
gh_agent_20250929_141358_fa2d33.json,2824,2346,5170,0.00014120000000000002,0.0009384,0.0010796,True,True,True,True,True,True,False
gh_agent_20250929_141258_00376a.json,1733,3370,5103,8.665e-05,0.0013480000000000002,0.0014346500000000002,True,True,True,True,True,True,False
gh_agent_20250929_141152_c6ed18.json,1813,1195,3008,9.065000000000001e-05,0.00047800000000000007,0.0005686500000000001,True,True,True,True,True,True,False
gh_agent_20250929_141405_5e1fab.json,2039,1082,3121,0.00010195000000000001,0.00043280000000000006,0.0005347500000000001,True,True,True,True,True,True,True
gh_agent_20250929_141152_800bb8.json,1228,3818,5046,6.14e-05,0.0015272000000000003,0.0015886000000000003,True,True,True,True,True,True,True
gh_agent_20250929_141517_e9ee76.json,1689,746,2435,8.445e-05,0.00029840000000000004,0.00038285000000000006,True,True,True,True,True,True,True
gh_agent_20250929_141516_8ca732.json,1156,2218,3374,5.7799999999999995e-05,0.0008872,0.000945,False,True,True,False,False,False,True
gh_agent_20250929_141407_a2097a.json,1376,1322,2698,6.88e-05,0.0005288000000000001,0.0005976000000000001,True,True,True,True,True,True,True
gh_agent_20250929_141300_a6a682.json,1852,2154,4006,9.26e-05,0.0008616000000000001,0.0009542000000000001,True,True,True,True,True,True,True
gh_agent_20250929_141259_6ed8d6.json,2088,4714,6802,0.0001044,0.0018856000000000003,0.0019900000000000004,True,True,True,True,False,True,False
gh_agent_20250929_141153_2f8d0d.json,1596,2346,3942,7.98e-05,0.0009384,0.0010182000000000001,True,True,True,True,True,True,True
gh_agent_20250929_141158_15522a.json,1364,2154,3518,6.82e-05,0.0008616000000000001,0.0009298000000000002,True,True,True,True,True,True,False
gh_agent_20250929_141518_6b4e5a.json,1529,3179,4708,7.645e-05,0.0012716000000000001,0.0013480500000000002,False,True,True,True,True,True,True
gh_agent_20250929_141301_f158f9.json,1263,3562,4825,6.315e-05,0.0014248000000000002,0.0014879500000000003,False,True,True,True,True,True,False
gh_agent_20250929_141519_3776b2.json,1293,1834,3127,6.465000000000001e-05,0.0007336,0.00079825,True,True,True,True,True,True,False
gh_agent_20250929_141410_de013c.json,1124,490,1614,5.6200000000000004e-05,0.000196,0.0002522,True,True,True,True,True,True,True
gh_agent_20250929_141306_f4fdb7.json,1467,3178,4645,7.335000000000001e-05,0.0012712,0.0013445500000000001,True,True,True,True,True,True,False
gh_agent_20250929_141409_987f77.json,1763,3627,5390,8.815e-05,0.0014508000000000001,0.00153895,True,True,True,True,True,True,True
gh_agent_20250929_141521_6a0c90.json,1061,2346,3407,5.305000000000001e-05,0.0009384,0.00099145,False,True,False,False,False,False,True
gh_agent_20250929_141159_247942.json,1651,2730,4381,8.255e-05,0.0010919999999999999,0.00117455,True,True,True,True,True,True,True
gh_agent_20250929_141202_460d93.json,2017,2410,4427,0.00010085000000000001,0.000964,0.00106485,True,True,True,True,True,True,True
gh_agent_20250929_141411_43d9cf.json,1348,2154,3502,6.74e-05,0.0008616000000000001,0.0009290000000000001,False,True,True,True,True,True,False
gh_agent_20250929_141310_351675.json,1256,2426,3682,6.28e-05,0.0009704000000000002,0.0010332000000000002,True,True,True,True,True,True,False
gh_agent_20250929_141308_6d9d04.json,1376,4138,5514,6.88e-05,0.0016552000000000001,0.001724,True,True,True,True,True,True,False
gh_agent_20250929_141204_ab3e75.json,1491,1962,3453,7.455e-05,0.0007848000000000001,0.00085935,True,True,True,True,True,True,False
gh_agent_20250929_141522_623232.json,1401,2794,4195,7.005e-05,0.0011176,0.0011876500000000002,False,True,True,True,True,True,False
gh_agent_20250929_141314_4a4397.json,1330,2346,3676,6.65e-05,0.0009384,0.0010049,True,True,True,True,True,True,True
gh_agent_20250929_141414_9d8135.json,1537,3244,4781,7.685e-05,0.0012976,0.0013744500000000002,True,True,True,True,True,True,False
gh_agent_20250929_141206_4bdabc.json,1405,1898,3303,7.025e-05,0.0007592,0.00082945,True,True,True,True,False,True,False
gh_agent_20250929_141522_fcac3d.json,1542,2538,4080,7.71e-05,0.0010152,0.0010923,True,True,True,True,False,True,True
